,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-03-09 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-03-09 00:28:59.180050543+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 00:30:07.445320407+00:00,1000006.75,0.00,1000006.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 06:46:09.059292753+00:00,1000006.75,0.00,1000006.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 06:46:41.418353925+00:00,1000007.25,0.00,1000007.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 06:46:41.418353925+00:00,1000007.74,0.00,1000007.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 13:33:22.446665358+00:00,1000007.74,0.00,1000007.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 13:33:38.027240288+00:00,1000013.24,0.00,1000013.24,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 14:36:28.549358656+00:00,1000013.24,0.00,1000013.24,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 14:36:37.597116377+00:00,1000017.24,0.00,1000017.24,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 14:47:32.984066844+00:00,1000017.24,0.00,1000017.24,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 14:47:54.012178573+00:00,1000017.74,0.00,1000017.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:03:39.912705968+00:00,1000017.74,0.00,1000017.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:03:44.967280456+00:00,1000019.74,0.00,1000019.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:06:30.308170299+00:00,1000019.74,0.00,1000019.74,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:06:34.761614394+00:00,1000020.49,0.00,1000020.49,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:06:43.115959245+00:00,1000020.49,0.00,1000020.49,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:06:47.124395242+00:00,1000019.99,0.00,1000019.99,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:14:28.080267499+00:00,1000019.99,0.00,1000019.99,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:14:28.080267499+00:00,1000019.99,0.00,1000019.99,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:15:26.975667775+00:00,1000025.48,0.00,1000025.48,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 15:15:26.975667775+00:00,1000030.96,0.00,1000030.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:07:39.145037299+00:00,1000030.96,0.00,1000030.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:07:46.043660646+00:00,1000032.21,0.00,1000032.21,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:26:30.864678800+00:00,1000032.21,0.00,1000032.21,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:26:38.153058352+00:00,1000033.96,0.00,1000033.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:34:55.969701541+00:00,1000033.96,0.00,1000033.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:35:28.075578979+00:00,1000038.96,0.00,1000038.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:47:18.651220255+00:00,1000038.96,0.00,1000038.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 16:47:34.439676368+00:00,1000038.46,0.00,1000038.46,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 19:28:13.335696210+00:00,1000038.46,0.00,1000038.46,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 19:28:46.569578759+00:00,1000042.96,0.00,1000042.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 19:32:58.592799893+00:00,1000042.96,0.00,1000042.96,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-09 19:33:00.550037650+00:00,1000042.71,0.00,1000042.71,USD,GLBX-001,MARGIN,USD,[],False,{}
