trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220010-001-000-2,O-20260308-220126-001-000-3,SELL,FLAT,0,1,1773007210192093360,2026-03-08 22:00:10.192093360+00:00,1773007286820633479,2026-03-08 22:01:26.820633479+00:00,76628540119,6739.75,6702.75,['0.00 USD'],0.00549,37.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220126-001-000-4,O-20260308-220132-001-000-5,BUY,FLAT,0,1,1773007286820633479,2026-03-08 22:01:26.820633479+00:00,1773007292648180471,2026-03-08 22:01:32.648180471+00:00,5827546992,6702.75,6703.0,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220132-001-000-6,O-20260308-220207-001-000-7,SELL,FLAT,0,1,1773007292648180471,2026-03-08 22:01:32.648180471+00:00,1773007327565296856,2026-03-08 22:02:07.565296856+00:00,34917116385,6703.0,6697.0,['0.00 USD'],0.0009,6.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220208-001-000-9,O-20260308-220210-001-000-10,BUY,FLAT,0,1,1773007328727983171,2026-03-08 22:02:08.727983171+00:00,1773007330828146287,2026-03-08 22:02:10.828146287+00:00,2100163116,6691.25,6697.75,['0.00 USD'],0.00097,6.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220210-001-000-11,O-20260308-220213-001-000-12,SELL,FLAT,0,1,1773007330828146287,2026-03-08 22:02:10.828146287+00:00,1773007333579094720,2026-03-08 22:02:13.579094720+00:00,2750948433,6697.75,6690.25,['0.00 USD'],0.00112,7.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220213-001-000-13,O-20260308-220217-001-000-14,BUY,FLAT,0,1,1773007333579094720,2026-03-08 22:02:13.579094720+00:00,1773007337413527063,2026-03-08 22:02:17.413527063+00:00,3834432343,6690.25,6697.75,['0.00 USD'],0.00112,7.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220217-001-000-15,O-20260308-220249-001-000-16,SELL,FLAT,0,1,1773007337413527063,2026-03-08 22:02:17.413527063+00:00,1773007369597315477,2026-03-08 22:02:49.597315477+00:00,32183788414,6697.75,6693.0,['0.00 USD'],0.00071,4.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220249-001-000-17,O-20260308-220344-001-000-18,BUY,FLAT,0,1,1773007369597315477,2026-03-08 22:02:49.597315477+00:00,1773007424163125107,2026-03-08 22:03:44.163125107+00:00,54565809630,6693.0,6704.5,['0.00 USD'],0.00172,11.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220344-001-000-19,O-20260308-220351-001-000-20,SELL,FLAT,0,1,1773007424163125107,2026-03-08 22:03:44.163125107+00:00,1773007431597365859,2026-03-08 22:03:51.597365859+00:00,7434240752,6704.5,6700.0,['0.00 USD'],0.00067,4.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220351-001-000-21,O-20260308-220357-001-000-22,BUY,FLAT,0,1,1773007431597365859,2026-03-08 22:03:51.597365859+00:00,1773007437737283339,2026-03-08 22:03:57.737283339+00:00,6139917480,6700.0,6702.5,['0.00 USD'],0.00037,2.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220357-001-000-23,O-20260308-220431-001-000-24,SELL,FLAT,0,1,1773007437737283339,2026-03-08 22:03:57.737283339+00:00,1773007471799008707,2026-03-08 22:04:31.799008707+00:00,34061725368,6702.5,6695.25,['0.00 USD'],0.00108,7.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220431-001-000-25,O-20260308-220447-001-000-26,BUY,FLAT,0,1,1773007471799008707,2026-03-08 22:04:31.799008707+00:00,1773007487450960355,2026-03-08 22:04:47.450960355+00:00,15651951648,6695.25,6699.0,['0.00 USD'],0.00056,3.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260308-220447-001-000-27,O-20260308-220527-001-000-28,SELL,FLAT,0,1,1773007487450960355,2026-03-08 22:04:47.450960355+00:00,1773007527450625877,2026-03-08 22:05:27.450625877+00:00,39999665522,6699.0,6686.0,['0.00 USD'],0.00194,13.00 USD,True
