,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-03-08 15:11:12.880611792+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-03-08 22:00:00.136210549+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:00:40.372954511+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:00:40.372954511+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:00:43.544532484+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:00:43.544532484+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:21.642410037+00:00,1000034.00,0.00,1000034.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:21.642410037+00:00,1000034.00,0.00,1000034.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:24.270974314+00:00,1000031.50,0.00,1000031.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:24.270974314+00:00,1000031.50,0.00,1000031.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:07.565296856+00:00,1000043.00,0.00,1000043.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:07.565296856+00:00,1000043.00,0.00,1000043.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:17.413527063+00:00,1000043.75,0.00,1000043.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:17.413527063+00:00,1000043.75,0.00,1000043.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:41.213193896+00:00,1000045.25,0.00,1000045.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:41.213193896+00:00,1000045.25,0.00,1000045.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:45.586807037+00:00,1000047.00,0.00,1000047.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:45.586807037+00:00,1000047.00,0.00,1000047.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:51.160079784+00:00,1000050.00,0.00,1000050.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:51.160079784+00:00,1000050.00,0.00,1000050.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:30.702788291+00:00,1000054.50,0.00,1000054.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:30.702788291+00:00,1000054.50,0.00,1000054.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:33.796182672+00:00,1000052.75,0.00,1000052.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:33.796182672+00:00,1000052.75,0.00,1000052.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:38.616748022+00:00,1000054.50,0.00,1000054.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:38.616748022+00:00,1000054.50,0.00,1000054.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:39.894842613+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:39.894842613+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:57.737283339+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:57.737283339+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:17.770426699+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:17.770426699+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:18.921533951+00:00,1000053.25,0.00,1000053.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:18.921533951+00:00,1000053.25,0.00,1000053.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:31.799008707+00:00,1000058.75,0.00,1000058.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:31.799008707+00:00,1000058.75,0.00,1000058.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:47.450960355+00:00,1000062.50,0.00,1000062.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:47.450960355+00:00,1000062.50,0.00,1000062.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:20.672755643+00:00,1000072.50,0.00,1000072.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:20.672755643+00:00,1000072.50,0.00,1000072.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:21.838041397+00:00,1000071.25,0.00,1000071.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:21.838041397+00:00,1000071.25,0.00,1000071.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:27.450625877+00:00,1000073.00,0.00,1000073.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:27.450625877+00:00,1000073.00,0.00,1000073.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:36.899160089+00:00,1000071.75,0.00,1000071.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:36.899160089+00:00,1000071.75,0.00,1000071.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:52.587402346+00:00,1000071.00,0.00,1000071.00,USD,GLBX-001,MARGIN,USD,[],False,{}
