trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000000-001-000-1,O-20260309-000001-001-000-3,BUY,FLAT,0,1,1773014400037054713,2026-03-09 00:00:00.037054713+00:00,1773014401282957928,2026-03-09 00:00:01.282957928+00:00,1245903215,6677.0,6677.75,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000002-001-000-4,O-20260309-000139-001-000-6,SELL,FLAT,0,1,1773014402391555443,2026-03-09 00:00:02.391555443+00:00,1773014499875501368,2026-03-09 00:01:39.875501368+00:00,97483945925,6678.0,6675.5,['0.00 USD'],0.00037,2.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000141-001-000-7,O-20260309-000227-001-000-9,BUY,FLAT,0,1,1773014501237044098,2026-03-09 00:01:41.237044098+00:00,1773014547540805323,2026-03-09 00:02:27.540805323+00:00,46303761225,6676.25,6676.75,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000306-001-000-10,O-20260309-000545-001-000-12,BUY,FLAT,0,1,1773014586172627069,2026-03-09 00:03:06.172627069+00:00,1773014745509657584,2026-03-09 00:05:45.509657584+00:00,159337030515,6674.0,6686.0,['0.00 USD'],0.0018,12.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000601-001-000-13,O-20260309-000748-001-000-15,SELL,FLAT,0,1,1773014761445235672,2026-03-09 00:06:01.445235672+00:00,1773014868567153890,2026-03-09 00:07:48.567153890+00:00,107121918218,6686.25,6680.75,['0.00 USD'],0.00082,5.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-000759-001-000-16,O-20260309-001132-001-000-18,BUY,FLAT,0,1,1773014879865203922,2026-03-09 00:07:59.865203922+00:00,1773015092974124658,2026-03-09 00:11:32.974124658+00:00,213108920736,6682.0,6686.75,['0.00 USD'],0.00071,4.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-001140-001-000-19,O-20260309-001223-001-000-21,SELL,FLAT,0,1,1773015100059841579,2026-03-09 00:11:40.059841579+00:00,1773015143431551735,2026-03-09 00:12:23.431551735+00:00,43371710156,6686.75,6680.0,['0.00 USD'],0.00101,6.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-001250-001-000-22,O-20260309-001400-001-000-24,SELL,FLAT,0,1,1773015170691264695,2026-03-09 00:12:50.691264695+00:00,1773015240157597816,2026-03-09 00:14:00.157597816+00:00,69466333121,6682.0,6679.5,['0.00 USD'],0.00037,2.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-001415-001-000-25,O-20260309-001502-001-000-27,BUY,FLAT,0,1,1773015255648709256,2026-03-09 00:14:15.648709256+00:00,1773015302091134808,2026-03-09 00:15:02.091134808+00:00,46442425552,6679.5,6681.5,['0.00 USD'],0.0003,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260309-001518-001-000-28,O-20260309-001640-001-000-30,SELL,FLAT,0,1,1773015318170411735,2026-03-09 00:15:18.170411735+00:00,1773015400042742315,2026-03-09 00:16:40.042742315+00:00,81872330580,6679.25,6679.0,['0.00 USD'],4e-05,0.25 USD,True
