,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-03-08 15:11:12.880611792+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-03-08 22:00:00.136210549+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:26.820633479+00:00,1000042.25,0.00,1000042.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:26.820633479+00:00,1000042.25,0.00,1000042.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:32.648180471+00:00,1000042.50,0.00,1000042.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:01:32.648180471+00:00,1000042.50,0.00,1000042.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:07.565296856+00:00,1000048.50,0.00,1000048.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:08.727983171+00:00,1000048.50,0.00,1000048.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:10.828146287+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:13.579094720+00:00,1000055.00,0.00,1000055.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:17.413527063+00:00,1000062.50,0.00,1000062.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:22.101884237+00:00,1000062.50,0.00,1000062.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:49.597315477+00:00,1000066.00,0.00,1000066.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:02:51.160079784+00:00,1000066.00,0.00,1000066.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:44.163125107+00:00,1000075.50,0.00,1000075.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:44.163125107+00:00,1000075.50,0.00,1000075.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:51.597365859+00:00,1000080.00,0.00,1000080.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:51.597365859+00:00,1000080.00,0.00,1000080.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:03:57.737283339+00:00,1000082.50,0.00,1000082.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:02.213881320+00:00,1000082.50,0.00,1000082.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:31.799008707+00:00,1000091.00,0.00,1000091.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:04:47.450960355+00:00,1000091.00,0.00,1000091.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:27.450625877+00:00,1000104.00,0.00,1000104.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:33.964735904+00:00,1000104.00,0.00,1000104.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:05:57.912930971+00:00,1000105.00,0.00,1000105.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:06:01.495937268+00:00,1000105.00,0.00,1000105.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:06:34.847163527+00:00,1000111.25,0.00,1000111.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:06:34.847163527+00:00,1000111.25,0.00,1000111.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:07:37.722397928+00:00,1000115.75,0.00,1000115.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:07:37.722397928+00:00,1000115.75,0.00,1000115.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:09:19.094785355+00:00,1000130.25,0.00,1000130.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:09:21.823499587+00:00,1000130.25,0.00,1000130.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:09:28.874500498+00:00,1000129.50,0.00,1000129.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:09:33.278224751+00:00,1000129.50,0.00,1000129.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:10:37.671416408+00:00,1000143.25,0.00,1000143.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:10:39.123153159+00:00,1000143.25,0.00,1000143.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:05.852709659+00:00,1000149.75,0.00,1000149.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:07.108595448+00:00,1000149.75,0.00,1000149.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:13.360012682+00:00,1000148.00,0.00,1000148.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:14.679412256+00:00,1000148.00,0.00,1000148.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:28.312451645+00:00,1000148.75,0.00,1000148.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:28.312451645+00:00,1000148.75,0.00,1000148.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:32.452213070+00:00,1000149.00,0.00,1000149.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:32.452213070+00:00,1000149.00,0.00,1000149.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:55.613286965+00:00,1000150.75,0.00,1000150.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:11:55.613286965+00:00,1000150.75,0.00,1000150.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-08 22:12:20.606960923+00:00,1000151.50,0.00,1000151.50,USD,GLBX-001,MARGIN,USD,[],False,{}
