,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-04-06 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-04-06 00:20:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 01:50:00+00:00,1000011.25,0.00,1000011.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 01:50:00+00:00,1000011.25,0.00,1000011.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 02:08:00+00:00,1000009.00,0.00,1000009.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 02:08:00+00:00,1000009.00,0.00,1000009.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 02:41:00+00:00,1000018.75,0.00,1000018.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 02:41:00+00:00,1000018.75,0.00,1000018.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:38:00+00:00,1000033.25,0.00,1000033.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:38:00+00:00,1000033.25,0.00,1000033.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:41:00+00:00,1000031.25,0.00,1000031.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:41:00+00:00,1000031.25,0.00,1000031.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:44:00+00:00,1000029.25,0.00,1000029.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 03:44:00+00:00,1000029.25,0.00,1000029.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 05:30:00+00:00,1000040.75,0.00,1000040.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 05:30:00+00:00,1000040.75,0.00,1000040.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:08:00+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:08:00+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:28:00+00:00,1000039.50,0.00,1000039.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:28:00+00:00,1000039.50,0.00,1000039.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:51:00+00:00,1000035.75,0.00,1000035.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 06:51:00+00:00,1000035.75,0.00,1000035.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 07:06:00+00:00,1000031.00,0.00,1000031.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 07:06:00+00:00,1000031.00,0.00,1000031.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 07:18:00+00:00,1000027.50,0.00,1000027.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 07:18:00+00:00,1000027.50,0.00,1000027.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:00:00+00:00,1000049.50,0.00,1000049.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:00:00+00:00,1000049.50,0.00,1000049.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:02:00+00:00,1000046.75,0.00,1000046.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:02:00+00:00,1000046.75,0.00,1000046.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:16:00+00:00,1000044.25,0.00,1000044.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:16:00+00:00,1000044.25,0.00,1000044.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:20:00+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:20:00+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:29:00+00:00,1000037.25,0.00,1000037.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:29:00+00:00,1000037.25,0.00,1000037.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:32:00+00:00,1000035.00,0.00,1000035.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:32:00+00:00,1000035.00,0.00,1000035.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:37:00+00:00,1000033.00,0.00,1000033.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 09:37:00+00:00,1000033.00,0.00,1000033.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:13:00+00:00,1000037.50,0.00,1000037.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:13:00+00:00,1000037.50,0.00,1000037.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:16:00+00:00,1000034.25,0.00,1000034.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:16:00+00:00,1000034.25,0.00,1000034.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:38:00+00:00,1000033.00,0.00,1000033.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:38:00+00:00,1000033.00,0.00,1000033.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:46:00+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 10:46:00+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:35:00+00:00,1000038.25,0.00,1000038.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:35:00+00:00,1000038.25,0.00,1000038.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:45:00+00:00,1000034.00,0.00,1000034.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:45:00+00:00,1000034.00,0.00,1000034.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:52:00+00:00,1000030.00,0.00,1000030.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:52:00+00:00,1000030.00,0.00,1000030.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:58:00+00:00,1000027.25,0.00,1000027.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 11:58:00+00:00,1000027.25,0.00,1000027.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 12:29:00+00:00,1000026.75,0.00,1000026.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 12:29:00+00:00,1000026.75,0.00,1000026.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 12:58:00+00:00,1000028.00,0.00,1000028.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 12:58:00+00:00,1000028.00,0.00,1000028.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:16:00+00:00,1000029.00,0.00,1000029.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:16:00+00:00,1000029.00,0.00,1000029.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:20:00+00:00,1000026.00,0.00,1000026.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:20:00+00:00,1000026.00,0.00,1000026.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:32:00+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 13:32:00+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:06:00+00:00,1000013.75,0.00,1000013.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:06:00+00:00,1000013.75,0.00,1000013.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:15:00+00:00,999993.50,0.00,999993.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:15:00+00:00,999993.50,0.00,999993.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:39:00+00:00,999980.75,0.00,999980.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 14:39:00+00:00,999980.75,0.00,999980.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 15:02:00+00:00,999969.75,0.00,999969.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 15:02:00+00:00,999969.75,0.00,999969.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 15:04:00+00:00,999962.75,0.00,999962.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 15:04:00+00:00,999962.75,0.00,999962.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 15:09:00+00:00,999957.25,0.00,999957.25,USD,GLBX-001,MARGIN,USD,[],False,{}
