,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-04-06 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-04-06 00:00:04.451136588+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:08.345956223+00:00,999997.20,0.00,999997.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:08.345956223+00:00,999997.20,0.00,999997.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:23.748700675+00:00,999996.60,0.00,999996.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:23.748700675+00:00,999996.60,0.00,999996.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:26.410180423+00:00,999993.20,0.00,999993.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:26.410180423+00:00,999993.20,0.00,999993.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:28.656461070+00:00,999991.20,0.00,999991.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:28.656461070+00:00,999991.20,0.00,999991.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:46.615155916+00:00,999990.50,0.00,999990.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:46.615155916+00:00,999990.50,0.00,999990.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:53.148687895+00:00,999988.70,0.00,999988.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:00:53.148687895+00:00,999988.70,0.00,999988.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:01.787463207+00:00,999988.70,0.00,999988.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:01.787463207+00:00,999988.70,0.00,999988.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:05.081683555+00:00,999987.60,0.00,999987.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:05.081683555+00:00,999987.60,0.00,999987.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:17.539481993+00:00,999989.80,0.00,999989.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:17.539481993+00:00,999989.80,0.00,999989.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:23.091105703+00:00,999987.10,0.00,999987.10,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:23.091105703+00:00,999987.10,0.00,999987.10,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:37.675964443+00:00,999985.90,0.00,999985.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:37.675964443+00:00,999985.90,0.00,999985.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:45.294980786+00:00,999986.00,0.00,999986.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:45.294980786+00:00,999986.00,0.00,999986.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:58.157342447+00:00,999985.20,0.00,999985.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:01:58.157342447+00:00,999985.20,0.00,999985.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:08.403623838+00:00,999983.40,0.00,999983.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:08.403623838+00:00,999983.40,0.00,999983.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:22.053006044+00:00,999984.60,0.00,999984.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:22.053006044+00:00,999984.60,0.00,999984.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:26.654668802+00:00,999983.70,0.00,999983.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:26.654668802+00:00,999983.70,0.00,999983.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:39.045213331+00:00,999982.70,0.00,999982.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:39.045213331+00:00,999982.70,0.00,999982.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:40.322473793+00:00,999981.00,0.00,999981.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:40.322473793+00:00,999981.00,0.00,999981.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:41.046548824+00:00,999978.40,0.00,999978.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:02:41.046548824+00:00,999978.40,0.00,999978.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:09.111832391+00:00,999976.60,0.00,999976.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:09.111832391+00:00,999976.60,0.00,999976.60,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:12.404569912+00:00,999973.90,0.00,999973.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:12.404569912+00:00,999973.90,0.00,999973.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:27.012882294+00:00,999970.00,0.00,999970.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:27.012882294+00:00,999970.00,0.00,999970.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:54.362939012+00:00,999969.00,0.00,999969.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:03:54.362939012+00:00,999969.00,0.00,999969.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:04:24.902382433+00:00,999967.90,0.00,999967.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:04:24.902382433+00:00,999967.90,0.00,999967.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:05.615083041+00:00,999972.80,0.00,999972.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:05.615083041+00:00,999972.80,0.00,999972.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:10.074542009+00:00,999975.20,0.00,999975.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:10.074542009+00:00,999975.20,0.00,999975.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:11.751592707+00:00,999973.00,0.00,999973.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:11.751592707+00:00,999973.00,0.00,999973.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:15.238341420+00:00,999971.20,0.00,999971.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:15.238341420+00:00,999971.20,0.00,999971.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:16.515883577+00:00,999969.20,0.00,999969.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:16.515883577+00:00,999969.20,0.00,999969.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:17.174219042+00:00,999967.40,0.00,999967.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:17.174219042+00:00,999967.40,0.00,999967.40,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:27.304400964+00:00,999965.20,0.00,999965.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:27.304400964+00:00,999965.20,0.00,999965.20,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:37.578697428+00:00,999965.30,0.00,999965.30,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:37.578697428+00:00,999965.30,0.00,999965.30,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:46.233209049+00:00,999964.30,0.00,999964.30,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:46.233209049+00:00,999964.30,0.00,999964.30,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:46.705169447+00:00,999962.70,0.00,999962.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:46.705169447+00:00,999962.70,0.00,999962.70,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:49.557359444+00:00,999961.80,0.00,999961.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:49.557359444+00:00,999961.80,0.00,999961.80,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:52.178133088+00:00,999960.90,0.00,999960.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:52.178133088+00:00,999960.90,0.00,999960.90,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-04-06 00:05:57.082226790+00:00,999959.60,0.00,999959.60,USD,GLBX-001,MARGIN,USD,[],False,{}
