trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000000-001-000-1,O-20260317-000106-001-000-2,SELL,FLAT,0,1,1773705600027929978,2026-03-17 00:00:00.027929978+00:00,1773705666131763527,2026-03-17 00:01:06.131763527+00:00,66103833549,6752.25,6747.5,['0.00 USD'],0.0007,4.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000106-001-000-3,O-20260317-000109-001-000-4,BUY,FLAT,0,1,1773705666131763527,2026-03-17 00:01:06.131763527+00:00,1773705669752046171,2026-03-17 00:01:09.752046171+00:00,3620282644,6747.5,6748.0,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000109-001-000-5,O-20260317-000118-001-000-6,SELL,FLAT,0,1,1773705669752046171,2026-03-17 00:01:09.752046171+00:00,1773705678208173511,2026-03-17 00:01:18.208173511+00:00,8456127340,6748.0,6747.5,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000118-001-000-7,O-20260317-000119-001-000-8,BUY,FLAT,0,1,1773705678208173511,2026-03-17 00:01:18.208173511+00:00,1773705679279315717,2026-03-17 00:01:19.279315717+00:00,1071142206,6747.5,6747.5,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000119-001-000-9,O-20260317-000144-001-000-10,SELL,FLAT,0,1,1773705679279315717,2026-03-17 00:01:19.279315717+00:00,1773705704897473551,2026-03-17 00:01:44.897473551+00:00,25618157834,6747.5,6747.25,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000144-001-000-11,O-20260317-000149-001-000-12,BUY,FLAT,0,1,1773705704897473551,2026-03-17 00:01:44.897473551+00:00,1773705709390043137,2026-03-17 00:01:49.390043137+00:00,4492569586,6747.25,6747.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000149-001-000-13,O-20260317-000234-001-000-14,SELL,FLAT,0,1,1773705709390043137,2026-03-17 00:01:49.390043137+00:00,1773705754144221099,2026-03-17 00:02:34.144221099+00:00,44754177962,6747.25,6745.25,['0.00 USD'],0.0003,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000234-001-000-15,O-20260317-000309-001-000-16,BUY,FLAT,0,1,1773705754144221099,2026-03-17 00:02:34.144221099+00:00,1773705789161804858,2026-03-17 00:03:09.161804858+00:00,35017583759,6745.25,6746.0,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000309-001-000-17,O-20260317-000311-001-000-18,SELL,FLAT,0,1,1773705789161804858,2026-03-17 00:03:09.161804858+00:00,1773705791954615133,2026-03-17 00:03:11.954615133+00:00,2792810275,6746.0,6746.0,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000311-001-000-19,O-20260317-000328-001-000-20,BUY,FLAT,0,1,1773705791954615133,2026-03-17 00:03:11.954615133+00:00,1773705808439744589,2026-03-17 00:03:28.439744589+00:00,16485129456,6746.0,6746.25,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000328-001-000-21,O-20260317-000335-001-000-22,SELL,FLAT,0,1,1773705808439744589,2026-03-17 00:03:28.439744589+00:00,1773705815216818479,2026-03-17 00:03:35.216818479+00:00,6777073890,6746.25,6746.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000335-001-000-23,O-20260317-000340-001-000-24,BUY,FLAT,0,1,1773705815216818479,2026-03-17 00:03:35.216818479+00:00,1773705820988555447,2026-03-17 00:03:40.988555447+00:00,5771736968,6746.25,6746.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000340-001-000-25,O-20260317-000441-001-000-26,SELL,FLAT,0,1,1773705820988555447,2026-03-17 00:03:40.988555447+00:00,1773705881180018451,2026-03-17 00:04:41.180018451+00:00,60191463004,6746.25,6744.25,['0.00 USD'],0.0003,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000441-001-000-27,O-20260317-000442-001-000-28,BUY,FLAT,0,1,1773705881180018451,2026-03-17 00:04:41.180018451+00:00,1773705882544609549,2026-03-17 00:04:42.544609549+00:00,1364591098,6744.25,6744.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000442-001-000-29,O-20260317-000451-001-000-30,SELL,FLAT,0,1,1773705882544609549,2026-03-17 00:04:42.544609549+00:00,1773705891003713976,2026-03-17 00:04:51.003713976+00:00,8459104427,6744.25,6744.25,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000451-001-000-31,O-20260317-000524-001-000-32,BUY,FLAT,0,1,1773705891003713976,2026-03-17 00:04:51.003713976+00:00,1773705924156997093,2026-03-17 00:05:24.156997093+00:00,33153283117,6744.25,6744.75,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000524-001-000-33,O-20260317-000525-001-000-34,SELL,FLAT,0,1,1773705924156997093,2026-03-17 00:05:24.156997093+00:00,1773705925243596575,2026-03-17 00:05:25.243596575+00:00,1086599482,6744.75,6745.0,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000525-001-000-35,O-20260317-000530-001-000-36,BUY,FLAT,0,1,1773705925243596575,2026-03-17 00:05:25.243596575+00:00,1773705930141900663,2026-03-17 00:05:30.141900663+00:00,4898304088,6745.0,6745.0,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000530-001-000-37,O-20260317-000533-001-000-38,SELL,FLAT,0,1,1773705930141900663,2026-03-17 00:05:30.141900663+00:00,1773705933173482880,2026-03-17 00:05:33.173482880+00:00,3031582217,6745.0,6745.25,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000533-001-000-39,O-20260317-000546-001-000-40,BUY,FLAT,0,1,1773705933173482880,2026-03-17 00:05:33.173482880+00:00,1773705946916416063,2026-03-17 00:05:46.916416063+00:00,13742933183,6745.25,6745.5,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000546-001-000-41,O-20260317-000552-001-000-42,SELL,FLAT,0,1,1773705946916416063,2026-03-17 00:05:46.916416063+00:00,1773705952743151072,2026-03-17 00:05:52.743151072+00:00,5826735009,6745.5,6745.5,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000552-001-000-43,O-20260317-000705-001-000-44,BUY,FLAT,0,1,1773705952743151072,2026-03-17 00:05:52.743151072+00:00,1773706025868948693,2026-03-17 00:07:05.868948693+00:00,73125797621,6745.5,6748.0,['0.00 USD'],0.00037,2.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000705-001-000-45,O-20260317-000710-001-000-46,SELL,FLAT,0,1,1773706025868948693,2026-03-17 00:07:05.868948693+00:00,1773706030083075149,2026-03-17 00:07:10.083075149+00:00,4214126456,6748.0,6747.75,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000710-001-000-47,O-20260317-000730-001-000-48,BUY,FLAT,0,1,1773706030083075149,2026-03-17 00:07:10.083075149+00:00,1773706050220816936,2026-03-17 00:07:30.220816936+00:00,20137741787,6747.75,6748.25,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000730-001-000-49,O-20260317-000802-001-000-50,SELL,FLAT,0,1,1773706050220816936,2026-03-17 00:07:30.220816936+00:00,1773706082601557026,2026-03-17 00:08:02.601557026+00:00,32380740090,6748.25,6747.0,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000802-001-000-51,O-20260317-000809-001-000-52,BUY,FLAT,0,1,1773706082601557026,2026-03-17 00:08:02.601557026+00:00,1773706089452065653,2026-03-17 00:08:09.452065653+00:00,6850508627,6747.0,6747.25,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000809-001-000-53,O-20260317-000821-001-000-54,SELL,FLAT,0,1,1773706089452065653,2026-03-17 00:08:09.452065653+00:00,1773706101521945744,2026-03-17 00:08:21.521945744+00:00,12069880091,6747.25,6746.5,['0.00 USD'],0.00011,0.75 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000821-001-000-55,O-20260317-000825-001-000-56,BUY,FLAT,0,1,1773706101521945744,2026-03-17 00:08:21.521945744+00:00,1773706105280373895,2026-03-17 00:08:25.280373895+00:00,3758428151,6746.5,6747.0,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000825-001-000-57,O-20260317-000901-001-000-58,SELL,FLAT,0,1,1773706105280373895,2026-03-17 00:08:25.280373895+00:00,1773706141814474421,2026-03-17 00:09:01.814474421+00:00,36534100526,6747.0,6745.5,['0.00 USD'],0.00022,1.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000901-001-000-59,O-20260317-000905-001-000-60,BUY,FLAT,0,1,1773706141814474421,2026-03-17 00:09:01.814474421+00:00,1773706145005921848,2026-03-17 00:09:05.005921848+00:00,3191447427,6745.5,6745.75,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000905-001-000-61,O-20260317-000909-001-000-62,SELL,FLAT,0,1,1773706145005921848,2026-03-17 00:09:05.005921848+00:00,1773706149300312914,2026-03-17 00:09:09.300312914+00:00,4294391066,6745.75,6745.75,['0.00 USD'],0.0,0.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-000909-001-000-63,O-20260317-001003-001-000-64,BUY,FLAT,0,1,1773706149300312914,2026-03-17 00:09:09.300312914+00:00,1773706203325066035,2026-03-17 00:10:03.325066035+00:00,54024753121,6745.75,6747.0,['0.00 USD'],0.00019,1.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-001003-001-000-65,O-20260317-001023-001-000-66,SELL,FLAT,0,1,1773706203325066035,2026-03-17 00:10:03.325066035+00:00,1773706223268069877,2026-03-17 00:10:23.268069877+00:00,19943003842,6747.0,6746.75,['0.00 USD'],4e-05,0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-001023-001-000-67,O-20260317-001029-001-000-68,BUY,FLAT,0,1,1773706223268069877,2026-03-17 00:10:23.268069877+00:00,1773706229080662882,2026-03-17 00:10:29.080662882+00:00,5812593005,6746.75,6746.5,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-001029-001-000-69,O-20260317-001052-001-000-70,SELL,FLAT,0,1,1773706229080662882,2026-03-17 00:10:29.080662882+00:00,1773706252279723093,2026-03-17 00:10:52.279723093+00:00,23199060211,6746.5,6746.75,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-001052-001-000-71,O-20260317-001133-001-000-72,BUY,FLAT,0,1,1773706252279723093,2026-03-17 00:10:52.279723093+00:00,1773706293615902968,2026-03-17 00:11:33.615902968+00:00,41336179875,6746.75,6746.5,['0.00 USD'],-4e-05,-0.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260317-001133-001-000-73,O-20260317-001218-001-000-74,SELL,FLAT,0,1,1773706293615902968,2026-03-17 00:11:33.615902968+00:00,1773706338128043776,2026-03-17 00:12:18.128043776+00:00,44512140808,6746.5,6745.25,['0.00 USD'],0.00019,1.25 USD,True
