,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-03-13 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-03-13 00:00:00.083589575+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:00:33.784488498+00:00,1000005.00,0.00,1000005.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:00:33.784488498+00:00,1000005.00,0.00,1000005.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:00:57.614213287+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:00:57.614213287+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:01:06.548641595+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:01:06.548641595+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:01:34.862754506+00:00,1000005.75,0.00,1000005.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:01:34.862754506+00:00,1000005.75,0.00,1000005.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:02:29.053613843+00:00,1000008.50,0.00,1000008.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:02:29.053613843+00:00,1000008.50,0.00,1000008.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:03:13.132363414+00:00,1000010.75,0.00,1000010.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:03:13.132363414+00:00,1000010.75,0.00,1000010.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:03:51.536031587+00:00,1000011.50,0.00,1000011.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:03:51.536031587+00:00,1000011.50,0.00,1000011.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:04:21.223372754+00:00,1000013.25,0.00,1000013.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:04:21.223372754+00:00,1000013.25,0.00,1000013.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:04:41.506857269+00:00,1000014.00,0.00,1000014.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:04:41.506857269+00:00,1000014.00,0.00,1000014.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:05:28.087067107+00:00,1000016.50,0.00,1000016.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:05:28.087067107+00:00,1000016.50,0.00,1000016.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:05:32.503092191+00:00,1000016.00,0.00,1000016.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:05:32.503092191+00:00,1000016.00,0.00,1000016.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:06:06.694552954+00:00,1000016.50,0.00,1000016.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:06:06.694552954+00:00,1000016.50,0.00,1000016.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:06:23.431618797+00:00,1000016.25,0.00,1000016.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:06:23.431618797+00:00,1000016.25,0.00,1000016.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:18.794699201+00:00,1000017.25,0.00,1000017.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:18.794699201+00:00,1000017.25,0.00,1000017.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:35.412180862+00:00,1000017.00,0.00,1000017.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:35.412180862+00:00,1000017.00,0.00,1000017.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:36.473466842+00:00,1000016.75,0.00,1000016.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:07:36.473466842+00:00,1000016.75,0.00,1000016.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:08:41.480034297+00:00,1000017.75,0.00,1000017.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:08:41.480034297+00:00,1000017.75,0.00,1000017.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:21.531769602+00:00,1000029.50,0.00,1000029.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:21.531769602+00:00,1000029.50,0.00,1000029.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:23.761153096+00:00,1000029.25,0.00,1000029.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:23.761153096+00:00,1000029.25,0.00,1000029.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:29.238039726+00:00,1000029.00,0.00,1000029.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:29.238039726+00:00,1000029.00,0.00,1000029.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:43.602259891+00:00,1000029.50,0.00,1000029.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:13:43.602259891+00:00,1000029.50,0.00,1000029.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:14:11.913610307+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:14:11.913610307+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:14:24.399862456+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:14:24.399862456+00:00,1000030.75,0.00,1000030.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:17:08.662031635+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-13 00:17:08.662031635+00:00,1000040.25,0.00,1000040.25,USD,GLBX-001,MARGIN,USD,[],False,{}
