trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-000050-001-000-1,O-20260311-000139-001-000-2,BUY,FLAT,0,1,1773187250020741059,2026-03-11 00:00:50.020741059+00:00,1773187299467756130,2026-03-11 00:01:39.467756130+00:00,49447015071,6849.75,6850.25,['0.00 USD'],7e-05,0.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-000139-001-000-3,O-20260311-000446-001-000-4,SELL,FLAT,0,1,1773187299467756130,2026-03-11 00:01:39.467756130+00:00,1773187486561326875,2026-03-11 00:04:46.561326875+00:00,187093570745,6850.25,6848.75,['0.00 USD'],0.00022,1.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-000446-001-000-5,O-20260311-000938-001-000-6,BUY,FLAT,0,1,1773187486561326875,2026-03-11 00:04:46.561326875+00:00,1773187778860005549,2026-03-11 00:09:38.860005549+00:00,292298678674,6848.75,6857.75,['0.00 USD'],0.00131,9.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-000938-001-000-7,O-20260311-001134-001-000-8,SELL,FLAT,0,1,1773187778860005549,2026-03-11 00:09:38.860005549+00:00,1773187894351772439,2026-03-11 00:11:34.351772439+00:00,115491766890,6857.75,6853.75,['0.00 USD'],0.00058,4.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001134-001-000-9,O-20260311-001418-001-000-10,BUY,FLAT,0,1,1773187894351772439,2026-03-11 00:11:34.351772439+00:00,1773188058599987186,2026-03-11 00:14:18.599987186+00:00,164248214747,6853.75,6860.0,['0.00 USD'],0.00091,6.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001418-001-000-11,O-20260311-001447-001-000-12,SELL,FLAT,0,1,1773188058599987186,2026-03-11 00:14:18.599987186+00:00,1773188087103093423,2026-03-11 00:14:47.103093423+00:00,28503106237,6860.0,6856.75,['0.00 USD'],0.00047,3.25 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001447-001-000-13,O-20260311-001513-001-000-14,BUY,FLAT,0,1,1773188087103093423,2026-03-11 00:14:47.103093423+00:00,1773188113217201197,2026-03-11 00:15:13.217201197+00:00,26114107774,6856.75,6857.75,['0.00 USD'],0.00015,1.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001513-001-000-15,O-20260311-001530-001-000-16,SELL,FLAT,0,1,1773188113217201197,2026-03-11 00:15:13.217201197+00:00,1773188130613540608,2026-03-11 00:15:30.613540608+00:00,17396339411,6857.75,6859.25,['0.00 USD'],-0.00022,-1.50 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001530-001-000-17,O-20260311-001707-001-000-18,BUY,FLAT,0,1,1773188130613540608,2026-03-11 00:15:30.613540608+00:00,1773188227716403671,2026-03-11 00:17:07.716403671+00:00,97102863063,6859.25,6861.25,['0.00 USD'],0.00029,2.00 USD,True
BACKTESTER-001,OracleStrategy-000,MESM6.GLBX,GLBX-001,O-20260311-001707-001-000-19,O-20260311-001833-001-000-20,SELL,FLAT,0,1,1773188227716403671,2026-03-11 00:17:07.716403671+00:00,1773188313013238065,2026-03-11 00:18:33.013238065+00:00,85296834394,6861.25,6859.25,['0.00 USD'],0.00029,2.00 USD,True
