,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2026-03-17 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],True,{}
2026-03-17 00:00:00.028143106+00:00,1000000.00,0.00,1000000.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:06.131763527+00:00,1000004.50,0.00,1000004.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:06.145376039+00:00,1000004.50,0.00,1000004.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:09.752046171+00:00,1000004.75,0.00,1000004.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:09.752046171+00:00,1000004.75,0.00,1000004.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:18.208173511+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:18.208267816+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:19.279315717+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:19.279315717+00:00,1000005.25,0.00,1000005.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:44.897473551+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:44.898325339+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:49.390043137+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:01:49.390280725+00:00,1000005.50,0.00,1000005.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:02:34.144221099+00:00,1000007.50,0.00,1000007.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:02:34.144221099+00:00,1000007.50,0.00,1000007.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:09.161804858+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:09.161815321+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:11.954615133+00:00,1000008.00,0.00,1000008.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:11.954615133+00:00,1000008.00,0.00,1000008.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:28.439744589+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:28.439744589+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:35.216818479+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:35.216818479+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:40.988555447+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:03:40.988555447+00:00,1000008.25,0.00,1000008.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:41.180018451+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:41.307796071+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:42.544609549+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:42.544609549+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:51.003713976+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:04:51.003801773+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:24.156997093+00:00,1000010.50,0.00,1000010.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:24.156997093+00:00,1000010.50,0.00,1000010.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:25.243596575+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:25.243596575+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:30.141900663+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:30.141900663+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:33.173482880+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:33.173482880+00:00,1000010.00,0.00,1000010.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:46.916416063+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:46.916416063+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:52.743151072+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:05:52.927297930+00:00,1000010.25,0.00,1000010.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:05.868948693+00:00,1000012.75,0.00,1000012.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:05.868948693+00:00,1000012.75,0.00,1000012.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:10.083075149+00:00,1000013.00,0.00,1000013.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:10.083075149+00:00,1000013.00,0.00,1000013.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:30.220816936+00:00,1000013.50,0.00,1000013.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:07:30.220816936+00:00,1000013.50,0.00,1000013.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:02.601557026+00:00,1000014.75,0.00,1000014.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:02.601557026+00:00,1000014.75,0.00,1000014.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:09.452065653+00:00,1000015.00,0.00,1000015.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:09.452065653+00:00,1000015.00,0.00,1000015.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:21.521945744+00:00,1000015.75,0.00,1000015.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:21.647925528+00:00,1000015.75,0.00,1000015.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:25.280373895+00:00,1000016.00,0.00,1000016.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:08:25.917114010+00:00,1000016.00,0.00,1000016.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:01.814474421+00:00,1000017.25,0.00,1000017.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:01.816087885+00:00,1000017.25,0.00,1000017.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:05.005921848+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:05.005921848+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:09.300312914+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:09:09.300333687+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:03.325066035+00:00,1000018.50,0.00,1000018.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:03.325066035+00:00,1000018.50,0.00,1000018.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:23.268069877+00:00,1000018.75,0.00,1000018.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:23.284342832+00:00,1000018.75,0.00,1000018.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:29.080662882+00:00,1000018.25,0.00,1000018.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:29.080675629+00:00,1000018.25,0.00,1000018.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:52.279723093+00:00,1000017.75,0.00,1000017.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:10:52.279723093+00:00,1000017.75,0.00,1000017.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:11:33.615902968+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:11:33.802136768+00:00,1000017.50,0.00,1000017.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:18.128043776+00:00,1000018.50,0.00,1000018.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:18.128043776+00:00,1000018.50,0.00,1000018.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:31.835621533+00:00,1000019.00,0.00,1000019.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:31.835621533+00:00,1000019.00,0.00,1000019.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:39.512452883+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:12:39.512546325+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:18.168030612+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:18.168030612+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:30.670368896+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:30.670368896+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:40.066212459+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:40.066222463+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:45.510758989+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:45.510758989+00:00,1000019.25,0.00,1000019.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:55.916475426+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:13:55.932709349+00:00,1000020.00,0.00,1000020.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:40.993609242+00:00,1000021.50,0.00,1000021.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:40.993806071+00:00,1000021.50,0.00,1000021.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:48.983177845+00:00,1000021.50,0.00,1000021.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:48.983177845+00:00,1000021.50,0.00,1000021.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:50.951571106+00:00,1000021.25,0.00,1000021.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:14:50.951644195+00:00,1000021.25,0.00,1000021.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:15:11.856082053+00:00,1000021.25,0.00,1000021.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:15:11.856082053+00:00,1000021.25,0.00,1000021.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:17:36.066771496+00:00,1000024.00,0.00,1000024.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:17:36.215121378+00:00,1000024.00,0.00,1000024.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:04.889460858+00:00,1000024.25,0.00,1000024.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:04.889460858+00:00,1000024.25,0.00,1000024.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:08.891510809+00:00,1000023.75,0.00,1000023.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:08.906019875+00:00,1000023.75,0.00,1000023.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:45.882633187+00:00,1000024.25,0.00,1000024.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:45.882633187+00:00,1000024.25,0.00,1000024.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:48.024600267+00:00,1000024.50,0.00,1000024.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:48.165659491+00:00,1000024.50,0.00,1000024.50,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:49.801469356+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:49.801469356+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:52.431433467+00:00,1000024.75,0.00,1000024.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:18:52.431433467+00:00,1000024.75,0.00,1000024.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:19:00.607440151+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:19:00.607440151+00:00,1000025.00,0.00,1000025.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:20:58.839123184+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:20:58.853744775+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:05.197442423+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:05.197442423+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:08.419895392+00:00,1000028.00,0.00,1000028.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:08.419895392+00:00,1000028.00,0.00,1000028.00,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:17.131004443+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:17.258109699+00:00,1000027.75,0.00,1000027.75,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:57.925531472+00:00,1000028.25,0.00,1000028.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:21:57.925743448+00:00,1000028.25,0.00,1000028.25,USD,GLBX-001,MARGIN,USD,[],False,{}
2026-03-17 00:22:00.184640339+00:00,1000028.25,0.00,1000028.25,USD,GLBX-001,MARGIN,USD,[],False,{}
